device,B,m,memory_MB,time_sec
device12,256,1,527.7,939.74
device12,9830,256,48131.5,2115.1600000000003
device12,8192,8,48131.6,162.57
device12,8192,32,48131.4,192.38
device12,8557,1,42631.1,939.8399999999999
device12,6846,1,38620.4,939.81
device12,9866,32,48131.899999999994,192.42999999999995
device12,9758,128,48131.5,1495.95
device12,128,1,421.4,939.73
device12,9327,128,48131.3,1495.93
device12,9758,64,48131.6,274.78999999999996
device12,5064,1,34155.5,939.8
device12,9866,8,48132.09999999999,169.35999999999999
device12,8192,128,48131.200000000004,1495.92
device12,7987,1,41234.7,939.8299999999999
device12,9614,16,48131.7,192.39
device12,9327,16,48131.6,192.38
device12,2048,1,2614.4,939.77
device12,9758,16,48131.799999999996,192.39999999999998
device12,9353,1,45852.1,939.8799999999999
device12,9614,64,48131.5,274.78
device12,9327,64,48131.4,274.77
device12,9866,128,48131.7,1852.02
device12,9614,8,48131.799999999996,162.58999999999997
device12,64,1,363.9,939.72
device12,1024,1,1461.9,939.76
device12,9830,4,48132.09999999999,160.28999999999996
device12,9758,4,48131.99999999999,160.27999999999997
device12,9614,128,48131.4,1495.94
device12,9830,32,48131.799999999996,192.41999999999996
device12,9140,1,45852.0,939.8699999999999
device12,9327,8,48131.7,162.57999999999998
device12,9327,4,48131.799999999996,160.26
device12,9866,256,48131.6,2476.2
device12,8192,64,48131.3,274.76
device12,9521,1,45852.299999999996,939.8999999999999
device12,9866,64,48131.799999999996,277.53
device12,9830,8,48131.99999999999,169.35
device12,9758,8,48131.899999999994,169.34
device12,9830,16,48131.899999999994,192.40999999999997
device12,9614,256,48131.3,2115.14
device12,4564,1,34155.4,939.79
device12,9614,4,48131.899999999994,160.26999999999998
device12,10000,1,45852.49999999999,939.9199999999998
device12,9758,32,48131.7,192.40999999999997
device12,9552,1,45852.399999999994,939.9099999999999
device12,8842,1,43366.8,939.8499999999999
device12,512,1,1353.5,939.75
device12,9866,4,48132.19999999999,160.29999999999995
device12,9614,32,48131.6,192.39999999999998
device12,9830,128,48131.6,1796.65
device12,9327,32,48131.5,192.39
device12,9758,256,48131.4,2115.15
device12,9460,1,45852.2,939.8899999999999
device12,8862,1,43366.9,939.8599999999999
device12,9866,16,48131.99999999999,192.41999999999996
device12,7596,1,38620.5,939.8199999999999
device12,9327,256,48131.200000000004,2053.15
device12,9830,64,48131.7,274.79999999999995
device12,8192,256,48131.100000000006,2053.14
device12,8192,4,48131.7,160.25
device12,8192,16,48131.5,192.37
device12,4096,1,5560.4,939.78
